category,city,n_cells,n_vars,n_rows,status,stop_reason,gap_target,achieved_gap,hit_time_limit,dual_bound,objective_net_rev,baseline_hold_net_rev,nodes,solve_time_s,budget_wk,n_held_cells
Dal & Pulses,Delhi-NCR,12,1008.0,780.0,0,target_gap_hit,0.01,0.00699,False,-3191314.0,3169162.0,3258249.0,1.0,0.11,32934.0,0.0
Dal & Pulses,Hyderabad,12,1008.0,753.0,0,target_gap_hit,0.01,0.004812,False,-2859337.0,2845643.0,2919666.0,1.0,0.19,29684.0,1.0
Dal & Pulses,Kolkata,12,1008.0,753.0,0,target_gap_hit,0.01,0.001915,False,-1136247.0,1134075.0,1156466.0,1.0,0.12,11765.0,1.0
Dal & Pulses,Lucknow,10,840.0,654.0,0,target_gap_hit,0.01,0.004187,False,-455175.0,453277.0,463589.0,1.0,0.09,4783.0,0.0
Dal & Pulses,Mumbai,8,672.0,528.0,0,target_gap_hit,0.01,0.006125,False,-2700990.0,2684548.0,2762132.0,1.0,0.06,28263.0,0.0
Dal & Pulses,Others,17,1428.0,1095.0,0,target_gap_hit,0.01,0.006645,False,-4983832.0,4950933.0,5075237.0,1.0,0.17,51421.0,0.0
Dal & Pulses,Pune,12,1008.0,780.0,0,target_gap_hit,0.01,0.006908,False,-1367126.0,1357747.0,1392023.0,1.0,0.11,14066.0,0.0
Honey,Ahmedabad,1,84.0,87.0,0,target_gap_hit,0.01,0.000226,False,-4230.0,4229.0,4231.0,1.0,0.02,42.0,0.0
Honey,Bangalore,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-254868.0,254868.0,253878.0,1.0,0.01,2557.0,0.0
Honey,Delhi-NCR,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-344769.0,344769.0,344929.0,1.0,0.0,3451.0,0.0
Honey,Hyderabad,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-286034.0,286034.0,284110.0,1.0,0.02,2947.0,0.0
Honey,Mumbai,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-236928.0,236928.0,237038.0,1.0,0.01,2373.0,0.0
Honey,Others,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-183847.0,183847.0,184110.0,1.0,0.02,1845.0,0.0
Honey,Pune,1,84.0,87.0,0,target_gap_hit,0.01,0.000464,False,-30715.0,30700.0,29688.0,1.0,0.01,309.0,0.0
Indian Sweets,Ahmedabad,1,84.0,87.0,0,target_gap_hit,0.01,0.001568,False,-7758.0,7746.0,7760.0,1.0,0.0,78.0,0.0
