week,week_date,cell_id,confidence,scored,pred_net_rev_delta,actual_net_rev_delta,pred_units,actual_units,applied,week_action,baseline_net_rev_wk,baseline_units_wk,baseline_osa,baseline_sov,actual_osa,actual_sov,strikes,cell_status
W2,2026-07-06,5751_500g_Kolkata,High,True,322.61999999999983,,113.2,,False,cut,9812.4175,113.25,83.64945603700001,9.73222344842857,,,,
W2,2026-07-06,5751_500g_Lucknow,High,True,0.0,,42.2,,False,hold,3803.51,42.25,69.17647058835715,27.575649591864284,,,,
W2,2026-07-06,5751_500g_Mumbai,High,True,0.0,,91.2,,False,hold,7853.022499999999,91.25,69.7801632273512,9.617779667845236,,,,
W2,2026-07-06,5751_500g_Others,High,True,0.0,,1007.5,,False,hold,88078.85499999998,1007.5,74.9610775074643,13.104178350357143,,,,
W2,2026-07-06,5751_500g_Pune,High,True,188.78573426573428,,66.2,,False,cut,5774.2475,66.25,89.81084908871429,10.866380994428573,,,,
W2,2026-07-06,5793_500g_Ahmedabad,High,True,0.0,,30.2,,False,hold,2472.1775,30.25,78.03244255969642,8.057808475357142,,,,
W2,2026-07-06,5793_500g_Bangalore,High,True,0.0,,200.0,,False,hold,16165.5025,200.0,89.48353301258928,19.70657781875,,,,
W2,2026-07-06,5793_500g_Chennai,High,True,0.0,,27.8,,False,hold,2293.455,27.75,77.89993564989285,18.42377358278572,,,,
W2,2026-07-06,5793_500g_Delhi-NCR,High,True,333.89268131868147,,123.8,,False,cut,10123.445000000002,123.75,71.18414243382142,2.026068571553571,,,,
W2,2026-07-06,5793_500g_Hyderabad,High,True,0.0,,91.5,,False,hold,7533.985000000001,91.5,78.32596588840713,4.2400156409928575,,,,
W2,2026-07-06,5793_500g_Kolkata,High,True,0.0,,30.2,,False,hold,2483.49,30.25,80.78495630455356,0.0,,,,
W2,2026-07-06,5793_500g_Lucknow,High,True,0.0,,19.8,,False,hold,1629.0724999999998,19.75,69.84593837532499,2.5449835249214283,,,,
W2,2026-07-06,5793_500g_Mumbai,High,True,257.9135960044394,,95.5,,False,cut,7819.282499999999,95.5,81.8829450495357,3.30450112375,,,,
W2,2026-07-06,5793_500g_Others,High,True,0.0,,175.5,,False,hold,14460.8075,175.5,67.6067947805607,2.3893379522428573,,,,
W2,2026-07-06,5793_500g_Pune,High,True,0.0,,46.0,,False,hold,3795.3225,46.0,78.75507644528572,3.466756411767857,,,,
W2,2026-07-06,5800_1kg_Bangalore,High,True,0.0,,130.5,,False,hold,14102.767500000002,130.5,91.99197941889284,0.0005916674076375,,,,
W2,2026-07-06,5800_1kg_Chandigarh Tricity,High,True,0.0,,17.8,,False,hold,1963.0025,17.75,88.83169339146428,0.8873666587125,,,,
W2,2026-07-06,5800_1kg_Chennai,High,True,0.0,,45.5,,False,hold,4989.5575,45.5,85.50568425560714,0.0035861926071607,,,,
W2,2026-07-06,5800_1kg_Delhi-NCR,High,True,0.0,,78.2,,False,hold,8690.635,78.25,88.00819919158928,0.0567303926521428,,,,
W2,2026-07-06,5800_1kg_Hyderabad,High,True,0.0,,125.5,,False,hold,13950.1,125.5,87.58156660725001,0.3174044756500001,,,,
W2,2026-07-06,5800_1kg_Kolkata,High,True,0.0,,89.2,,False,hold,9864.66,89.25,88.43142500435715,0.2486397327454714,,,,
W2,2026-07-06,5800_1kg_Lucknow,High,True,0.0,,15.8,,False,hold,1754.9775,15.75,82.02614379079168,0.6280492747749999,,,,
W2,2026-07-06,5800_1kg_Mumbai,High,True,0.0,,34.5,,False,hold,3801.075,34.5,73.38834392621666,0.0001418546271183,,,,
