cell_id,product_id,city,pricing_action,agree_with_cut
58549_Delhi-NCR,58549,Delhi-NCR,cut,False
75469_Delhi-NCR,75469,Delhi-NCR,cut,False
3596_Hyderabad,3596,Hyderabad,cut,False
5533_Hyderabad,5533,Hyderabad,cut,False
21862_Hyderabad,21862,Hyderabad,cut,False
58549_Hyderabad,58549,Hyderabad,cut,False
75469_Hyderabad,75469,Hyderabad,cut,False
3596_Kolkata,3596,Kolkata,cut,False
21862_Kolkata,21862,Kolkata,cut,False
58549_Kolkata,58549,Kolkata,cut,False
75469_Kolkata,75469,Kolkata,cut,False
3596_Lucknow,3596,Lucknow,cut,False
5533_Lucknow,5533,Lucknow,hold,False
21862_Lucknow,21862,Lucknow,cut,False
75469_Lucknow,75469,Lucknow,cut,False
3596_Mumbai,3596,Mumbai,cut,False
21862_Mumbai,21862,Mumbai,cut,False
58549_Mumbai,58549,Mumbai,cut,False
75469_Mumbai,75469,Mumbai,cut,False
3596_Others,3596,Others,cut,False
5533_Others,5533,Others,cut,False
5540_Others,5540,Others,hold,False
16655_Others,16655,Others,cut,False
21862_Others,21862,Others,cut,False
58549_Others,58549,Others,cut,False
75469_Others,75469,Others,cut,False
3596_Pune,3596,Pune,cut,False
5541_Pune,5541,Pune,cut,False
21862_Pune,21862,Pune,cut,False
58549_Pune,58549,Pune,cut,False
75469_Pune,75469,Pune,cut,False
5460_500g_Bangalore,5460,Bangalore,cut,True
495085_Bangalore,495085,Bangalore,cut,False
5460_500g_Chandigarh Tricity,5460,Chandigarh Tricity,cut,True
495085_Chandigarh Tricity,495085,Chandigarh Tricity,cut,False
5460_500g_Chennai,5460,Chennai,cut,True
495085_Chennai,495085,Chennai,cut,False
5460_500g_Delhi-NCR,5460,Delhi-NCR,cut,True
5460_Hyderabad,5460,Hyderabad,cut,False
495085_Hyderabad,495085,Hyderabad,cut,False
5460_500g_Kolkata,5460,Kolkata,cut,True
5460_500g_Lucknow,5460,Lucknow,cut,True
5460_500g_Mumbai,5460,Mumbai,cut,True
5460_500g_Others,5460,Others,cut,True
5460_Pune,5460,Pune,cut,False
495085_Pune,495085,Pune,cut,False
59642_Ahmedabad,59642,Ahmedabad,hold,False
32006_Bangalore,32006,Bangalore,cut,False
59642_Bangalore,59642,Bangalore,cut,False
490432_Bangalore,490432,Bangalore,cut,False
59642_Chandigarh Tricity,59642,Chandigarh Tricity,hold,False
32006_Chennai,32006,Chennai,cut,False
59642_Chennai,59642,Chennai,cut,False
490432_Chennai,490432,Chennai,cut,False
32006_Delhi-NCR,32006,Delhi-NCR,cut,False
59642_Delhi-NCR,59642,Delhi-NCR,cut,False
32006_Hyderabad,32006,Hyderabad,cut,False
59642_Hyderabad,59642,Hyderabad,cut,False
32006_Kolkata,32006,Kolkata,cut,False
59642_Kolkata,59642,Kolkata,cut,False
490432_Kolkata,490432,Kolkata,cut,False
32006_Lucknow,32006,Lucknow,cut,False
59642_Lucknow,59642,Lucknow,cut,False
32006_Mumbai,32006,Mumbai,cut,False
59642_Mumbai,59642,Mumbai,cut,False
32006_Others,32006,Others,cut,False
59642_Others,59642,Others,cut,False
32006_Pune,32006,Pune,cut,False
59642_Pune,59642,Pune,cut,False
490432_Pune,490432,Pune,cut,False
21491_Ahmedabad,21491,Ahmedabad,cut,False
437289_Ahmedabad,437289,Ahmedabad,cut,False
21491_5kg_Bangalore,21491,Bangalore,cut,True
21686_Bangalore,21686,Bangalore,cut,False
437289_Bangalore,437289,Bangalore,cut,False
532385_Bangalore,532385,Bangalore,cut,False
21491_Chandigarh Tricity,21491,Chandigarh Tricity,cut,False
437289_Chandigarh Tricity,437289,Chandigarh Tricity,cut,False
490411_Chandigarh Tricity,490411,Chandigarh Tricity,cut,False
21491_Chennai,21491,Chennai,cut,False
21686_Chennai,21686,Chennai,cut,False
437289_Chennai,437289,Chennai,cut,False
21491_Delhi-NCR,21491,Delhi-NCR,cut,False
21686_Delhi-NCR,21686,Delhi-NCR,cut,False
437289_Delhi-NCR,437289,Delhi-NCR,cut,False
490411_Delhi-NCR,490411,Delhi-NCR,cut,False
532385_Delhi-NCR,532385,Delhi-NCR,cut,False
21491_Hyderabad,21491,Hyderabad,cut,False
21686_Hyderabad,21686,Hyderabad,cut,False
437289_Hyderabad,437289,Hyderabad,cut,False
532385_Hyderabad,532385,Hyderabad,cut,False
21491_Kolkata,21491,Kolkata,cut,False
21686_Kolkata,21686,Kolkata,cut,False
437289_Kolkata,437289,Kolkata,cut,False
532385_Kolkata,532385,Kolkata,cut,False
21491_Lucknow,21491,Lucknow,cut,False
21686_Lucknow,21686,Lucknow,cut,False
437289_Lucknow,437289,Lucknow,cut,False
490411_Lucknow,490411,Lucknow,hold,False
532385_Lucknow,532385,Lucknow,cut,False
21491_Mumbai,21491,Mumbai,cut,False
437289_Mumbai,437289,Mumbai,cut,False
21491_Others,21491,Others,cut,False
21686_Others,21686,Others,cut,False
437289_Others,437289,Others,cut,False
532385_Others,532385,Others,cut,False
21491_Pune,21491,Pune,cut,False
21686_Pune,21686,Pune,cut,False
437289_Pune,437289,Pune,cut,False
32387_Ahmedabad,32387,Ahmedabad,hold,False
32387_Bangalore,32387,Bangalore,hold,False
32387_Chandigarh Tricity,32387,Chandigarh Tricity,hold,False
32387_Chennai,32387,Chennai,hold,False
32387_Delhi-NCR,32387,Delhi-NCR,hold,False
32387_Hyderabad,32387,Hyderabad,hold,False
32387_Kolkata,32387,Kolkata,hold,False
32387_Lucknow,32387,Lucknow,hold,False
32387_Mumbai,32387,Mumbai,hold,False
32387_Others,32387,Others,hold,False
32387_Pune,32387,Pune,hold,False
86959_100g_Ahmedabad,86959,Ahmedabad,cut,True
98567_Ahmedabad,98567,Ahmedabad,cut,False
108382_Ahmedabad,108382,Ahmedabad,cut,False
24054_Bangalore,24054,Bangalore,cut,False
86959_Bangalore,86959,Bangalore,cut,False
98567_100g_Bangalore,98567,Bangalore,cut,True
108382_Bangalore,108382,Bangalore,cut,False
24054_Chandigarh Tricity,24054,Chandigarh Tricity,cut,False
86959_100g_Chandigarh Tricity,86959,Chandigarh Tricity,cut,True
98567_Chandigarh Tricity,98567,Chandigarh Tricity,cut,False
24054_Chennai,24054,Chennai,cut,False
86959_Chennai,86959,Chennai,cut,False
98567_Chennai,98567,Chennai,cut,False
108382_Chennai,108382,Chennai,cut,False
16659_Delhi-NCR,16659,Delhi-NCR,cut,False
86959_Delhi-NCR,86959,Delhi-NCR,cut,False
98567_100g_Delhi-NCR,98567,Delhi-NCR,cut,True
