cell_id,product_id,city,pricing_action,agree_with_cut
108382_Delhi-NCR,108382,Delhi-NCR,cut,False
16659_Hyderabad,16659,Hyderabad,cut,False
24054_Hyderabad,24054,Hyderabad,cut,False
86959_Hyderabad,86959,Hyderabad,cut,False
98567_Hyderabad,98567,Hyderabad,cut,False
108382_Hyderabad,108382,Hyderabad,cut,False
86959_Kolkata,86959,Kolkata,cut,False
98567_Kolkata,98567,Kolkata,cut,False
108382_Kolkata,108382,Kolkata,cut,False
16659_Lucknow,16659,Lucknow,hold,False
86959_Lucknow,86959,Lucknow,cut,False
98567_Lucknow,98567,Lucknow,cut,False
108382_Lucknow,108382,Lucknow,cut,False
16659_Mumbai,16659,Mumbai,cut,False
24054_Mumbai,24054,Mumbai,hold,False
86959_Mumbai,86959,Mumbai,cut,False
98567_Mumbai,98567,Mumbai,cut,False
108382_Mumbai,108382,Mumbai,cut,False
16659_Others,16659,Others,cut,False
24054_Others,24054,Others,cut,False
32002_Others,32002,Others,hold,False
86959_Others,86959,Others,cut,False
98567_Others,98567,Others,cut,False
108382_Others,108382,Others,cut,False
3595_Pune,3595,Pune,cut,False
16659_Pune,16659,Pune,cut,False
